patient,sample,lane,fastq_1,fastq_2
old,F10,L001,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F10_S1_R1_001.fastq.gz,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F10_S1_R2_001.fastq.gz
old,F17,L001,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F17_S2_R1_001.fastq.gz,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F17_S2_R2_001.fastq.gz
old,F18,L001,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F18_S3_R1_001.fastq.gz,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F18_S3_R2_001.fastq.gz
old,F19,L001,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F19_S4_R1_001.fastq.gz,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F19_S4_R2_001.fastq.gz
old,F21,L001,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F21_S5_R1_001.fastq.gz,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F21_S5_R2_001.fastq.gz
old,F3,L001,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F3_S6_R1_001.fastq.gz,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F3_S6_R2_001.fastq.gz
old,F340,L001,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F340_S7_R1_001.fastq.gz,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F340_S7_R2_001.fastq.gz
old,F38,L001,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F38_S76_R1_001.fastq.gz,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F38_S76_R2_001.fastq.gz
old,F45,L001,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F45_S77_R1_001.fastq.gz,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F45_S77_R2_001.fastq.gz
new,F5547,L001,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F5547_S8_R1_001.fastq.gz,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F5547_S8_R2_001.fastq.gz
new,F5550,L001,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F5550_S9_R1_001.fastq.gz,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F5550_S9_R2_001.fastq.gz
new,F5556,L001,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F5556_S10_R1_001.fastq.gz,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F5556_S10_R2_001.fastq.gz
new,F5562,L001,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F5562_S11_R1_001.fastq.gz,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F5562_S11_R2_001.fastq.gz
new,F5563,L001,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F5563_S12_R1_001.fastq.gz,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F5563_S12_R2_001.fastq.gz
new,F5566,L001,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F5566_S13_R1_001.fastq.gz,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F5566_S13_R2_001.fastq.gz
new,F5567,L001,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F5567_S14_R1_001.fastq.gz,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F5567_S14_R2_001.fastq.gz
new,F5568,L001,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F5568_S15_R1_001.fastq.gz,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F5568_S15_R2_001.fastq.gz
new,F5573,L001,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F5573_S16_R1_001.fastq.gz,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F5573_S16_R2_001.fastq.gz
new,F5575,L001,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F5575_S17_R1_001.fastq.gz,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F5575_S17_R2_001.fastq.gz
old,F92,L001,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F92_S78_R1_001.fastq.gz,/scratch/gautschi/blackan/GROUSE/grouse_asm/raw/Shotgun/F92_S78_R2_001.fastq.gz
